"type";"class";"is_tunnel";"is_bridge";"is_oneway";"is_link";"layer";"geometry"
"subway";"railway";1;0;0;0;-4;"{""type"":""LineString"",""coordinates"":[[-7911376.83577752,5215149.32768337],[-7911223.94305953,5214985.12120609],[-7911049.57108871,5214808.959765],[-7910997.91637818,5214757.302695],[-7910931.34189125,5214705.34286129],[-7910859.37426438,5214649.21645975],[-7910830.71037877,5214628.89992084],[-7910729.49103269,5214569.18798399],[-7910702.35738055,5214549.97013898],[-7910664.65205446,5214530.79021299],[-7910634.34596706,5214512.80985683],[-7910607.33361392,5214495.06944058],[-7910578.00724918,5214474.1345295],[-7910409.42030736,5214366.45557357],[-7910387.62381101,5214347.64218562],[-7910118.89988338,5214078.91785327],[-7910094.7053992,5214060.10503671],[-7910073.51539783,5214050.25673154],[-7909939.15343401,5214004.86627795],[-7909913.46603913,5213992.64435156],[-7909832.85819153,5213947.2415483],[-7909791.00070752,5213920.96711117],[-7909640.53396944,5213822.70060507],[-7909606.90615572,5213799.63343865],[-7909573.3903103,5213771.38980896],[-7909547.70291541,5213740.63376625],[-7909533.66955474,5213716.74613699],[-7909523.51776192,5213691.65914091],[-7909513.66455124,5213651.95187734],[-7909510.38014769,5213616.42380239],[-7909510.97731197,5213577.90364149],[-7909513.3659691,5213547.75424436],[-7909520.83052265,5213514.60011864],[-7909537.70041366,5213476.42125403],[-7909984.14603051,5212830.24459798],[-7910015.67443854,5212770.85961191],[-7910035.25956091,5212714.92141656],[-7910045.85922694,5212659.60213604],[-7910044.99147259,5212553.35770588],[-7910053.17448942,5210563.37589547],[-7910096.85145835,5210316.8204983],[-7910134.37017061,5210207.20732378],[-7910136.60020598,5210196.36597453],[-7910136.15233276,5210177.39679842],[-7910131.67360064,5210157.79661843],[-7910127.00825467,5210143.6991541],[-7910113.76800282,5210105.0795294],[-7910107.30183331,5210089.90938002],[-7910100.17318468,5210076.69546771],[-7910092.28874999,5210063.8854366],[-7910085.18809343,5210053.78887256],[-7910076.0906688,5210042.78363002],[-7909984.16469189,5209947.54842991]]}"
"motorway";"highway";1;0;1;1;-2;"{""type"":""LineString"",""coordinates"":[[-7910059.33274609,5213149.86189856],[-7910066.19080466,5213169.21577511],[-7910071.04276447,5213182.52237723],[-7910074.72838778,5213197.40710897],[-7910077.47161121,5213213.41548102],[-7910078.75924669,5213231.59536853],[-7910078.31137348,5213251.2145363],[-7910076.25862126,5213270.3161203],[-7910071.97583366,5213292.25837076],[-7910064.57659496,5213321.27069943],[-7910055.89905146,5213349.67711259],[-7910044.77686668,5213383.09578865],[-7910036.93908546,5213411.03525588],[-7910011.61558755,5213482.67076002]]}"
"motorway";"highway";1;0;1;1;-2;"{""type"":""LineString"",""coordinates"":[[-7910059.33274609,5213149.86189856],[-7910069.82044382,5213166.79180406],[-7910077.56491813,5213181.4366386],[-7910083.8351431,5213197.45760853],[-7910089.87210078,5213214.74109664],[-7910105.40770285,5213265.34187727]]}"
"motorway";"highway";1;0;1;1;-2;"{""type"":""LineString"",""coordinates"":[[-7910038.36668132,5213360.26957025],[-7910031.37799306,5213400.24073888],[-7910023.31627524,5213434.17722677],[-7910018.21238675,5213457.28137852],[-7910011.61558755,5213482.67076002],[-7909953.2801016,5213649.09851601],[-7909944.01472451,5213677.9604318],[-7909935.48647209,5213705.77451351],[-7909927.39676218,5213738.92930867],[-7909919.37236712,5213768.63741683],[-7909911.50659382,5213795.34070452],[-7909901.28948616,5213829.9856496]]}"
"motorway";"highway";1;0;1;1;-2;"{""type"":""LineString"",""coordinates"":[[-7908758.78358191,5213357.9465511],[-7909205.4064819,5213287.71336648],[-7909249.39136367,5213279.97423924],[-7909291.07156452,5213271.08624445],[-7909332.71444261,5213261.61750919],[-7909378.21089647,5213250.20453954],[-7909423.14750882,5213237.93308752],[-7909462.65365845,5213226.58327106],[-7909497.62509181,5213216.18033666],[-7909537.02860384,5213203.61855611],[-7909892.25737636,5213086.15724581],[-7909911.88915219,5213081.85221042],[-7909930.98907857,5213079.087394],[-7909950.78880685,5213078.2036629],[-7909968.41448391,5213080.16049617],[-7909984.69654133,5213085.26088931],[-7909999.04714552,5213091.05564623],[-7910012.85656958,5213099.42585693],[-7910025.02379186,5213109.09642633],[-7910036.68715677,5213120.90059425],[-7910049.44221264,5213134.59849741],[-7910059.33274609,5213149.86189856]]}"
"motorway";"highway";1;0;1;1;-1;"{""type"":""LineString"",""coordinates"":[[-7910117.92949142,5213119.32249609],[-7910102.75778634,5213139.62317101],[-7910089.06033059,5213161.61561796],[-7910080.04688218,5213181.19676613],[-7910073.44075229,5213201.42182435],[-7910064.48328804,5213238.1603365]]}"
"motorway";"highway";1;0;1;1;0;"{""type"":""LineString"",""coordinates"":[[-7910109.34525484,5213029.92682045],[-7910136.32028522,5213031.34078305],[-7910159.72166058,5213033.41122866],[-7910179.58670371,5213035.54479809],[-7910199.23714091,5213039.35744999],[-7910217.68391886,5213044.92493448],[-7910234.22723566,5213052.60074613],[-7910250.46263962,5213062.82675488],[-7910263.74954493,5213074.16375033],[-7910274.17192782,5213085.56388304],[-7910283.42797421,5213098.35275258],[-7910291.34973166,5213112.39149204],[-7910297.36802796,5213126.75849696],[-7910302.21998776,5213141.97138621],[-7910305.73765862,5213156.33843602]]}"
"motorway";"highway";1;0;1;1;0;"{""type"":""LineString"",""coordinates"":[[-7910499.51746866,5212560.07369207],[-7910463.19308497,5212649.71741502],[-7910455.70053934,5212667.07564844],[-7910444.91425947,5212689.06699786],[-7910434.96774187,5212708.48305374],[-7910419.97331994,5212731.8505444],[-7910404.68031586,5212755.4453301],[-7910389.835185,5212775.56848433],[-7910375.40060458,5212794.05051559],[-7910361.26460631,5212810.0582057],[-7910345.4304221,5212826.28053757],[-7910328.98041222,5212840.9627187],[-7910310.51497289,5212855.85953794],[-7910290.31402486,5212871.31185657],[-7910269.41327493,5212885.56487545],[-7910249.34295659,5212897.19202188],[-7910227.94767999,5212907.60723031],[-7910202.52154447,5212917.8583315],[-7910180.38914321,5212925.93802499],[-7910158.01414396,5212932.94463976],[-7910134.69674482,5212939.95125972],[-7910112.73229602,5212946.54127458],[-7909485.37389331,5213153.03073018],[-7909438.06728521,5213168.69815624],[-7909381.29002481,5213185.71646952],[-7909333.1996386,5213196.86423878],[-7909292.90971083,5213203.64380591],[-7909262.40767891,5213207.10302825]]}"
"motorway";"highway";1;0;1;1;0;"{""type"":""LineString"",""coordinates"":[[-7910048.02394747,5213962.45575595],[-7910095.19992588,5213946.57237624],[-7910113.43209791,5213939.19886085],[-7910130.33931169,5213931.26981305],[-7910145.45503262,5213923.12613232],[-7910175.75178932,5213905.43732436],[-7910204.70492639,5213885.94305895],[-7910230.85885587,5213860.72935681],[-7910252.36610077,5213834.01325895],[-7910271.51268062,5213808.10528142],[-7910286.43245701,5213781.43983473],[-7910301.89341354,5213747.12333345],[-7910312.25981228,5213709.73894216],[-7910369.1397103,5213437.33352833],[-7910394.30458643,5213368.84202082]]}"
"motorway";"highway";1;0;1;1;0;"{""type"":""LineString"",""coordinates"":[[-7910177.56194356,5212908.60456603],[-7910159.64701505,5212912.46766484],[-7910138.98886311,5212917.94670311],[-7910118.70393885,5212924.03172168],[-7910095.2932328,5212931.58118999],[-7909385.04096297,5213165.75656661],[-7909353.35393317,5213175.47770318],[-7909321.58292714,5213183.45661755],[-7909289.66263004,5213188.44344244],[-7909253.84210372,5213191.78903529],[-7909219.21590596,5213193.80901646],[-7909185.1682111,5213194.61700905],[-7909150.98055586,5213194.84425697],[-7909073.05061685,5213193.69539251],[-7909028.74849156,5213197.30610987],[-7908981.76845769,5213203.03781089],[-7908926.99729605,5213213.27660701],[-7908845.43771787,5213230.40862481],[-7908822.9694117,5213234.13298061],[-7908806.63137013,5213236.93571712],[-7908790.26533648,5213238.95570792],[-7908773.89930283,5213240.81157484],[-7908758.06511863,5213242.26344378],[-7908742.80943732,5213242.89469121],[-7908726.8726155,5213242.93256606],[-7908706.65300609,5213241.96044503],[-7908687.23583617,5213240.31920195],[-7908671.62558857,5213238.37496052],[-7908653.47739277,5213235.42072431],[-7908636.65415521,5213232.30236486],[-7908618.20737727,5213228.40126077],[-7908600.60036159,5213224.63903245],[-7908581.79901735,5213219.66481342],[-7908564.60255212,5213215.38496715],[-7908547.60203142,5213210.92837412],[-7908531.62788683,5213206.14353579],[-7908515.66307294,5213200.5759565],[-7908498.14003349,5213193.68276762],[-7908237.57113061,5213085.93000049]]}"
